"temp","humid","month"
27,68,"9"
26.7,76,"9"
27.2,77,"9"
26.7,84,"9"
28.4,76,"9"
28.8,74,"9"
27.1,85,"9"
26.4,92,"9"
27,79,"9"
26.6,73,"9"
23.2,88,"9"
24.7,81,"9"
22.6,97,"9"
23.1,89,"9"
24.1,88,"9"
22.9,93,"9"
25.3,85,"9"
24.6,89,"9"
21.3,96,"9"
19.1,100,"9"
20.1,86,"9"
19.4,98,"9"
20.8,100,"9"
21.8,98,"9"
23.6,89,"9"
25.4,87,"9"
25.6,89,"9"
26.5,86,"9"
24.6,87,"9"
21.4,66,"9"
19.7,88,"10"
23.1,78,"10"
22.7,94,"10"
24.9,75,"10"
24,82,"10"
26,60,"10"
21.4,53,"10"
21.2,86,"10"
22.3,74,"10"
18.4,62,"10"
17.6,69,"10"
17.9,66,"10"
16.5,67,"10"
15.6,63,"10"
16.7,64,"10"
17.4,70,"10"
17.5,95,"10"
20.9,86,"10"
20.8,79,"10"
21.9,62,"10"
18.2,58,"10"
16.7,71,"10"
18.1,68,"10"
14.9,53,"10"
14,73,"10"
19.1,82,"10"
19,50,"10"
12.2,78,"10"
15.5,72,"10"
11.9,71,"10"
14.3,68,"10"
