year,month,temp,elec
2019,4,13.6,6059.6667
2019,5,20,5599.500003
2019,6,21.8,5824.02878
2019,7,24.1,6237.335399
2019,8,28.4,7780.933903
2019,9,25.1,7202.903495
2019,10,19.4,6155.599154
2019,11,13.1,5630.466214
2019,12,8.5,6320.747493
2020,1,7.1,7063.656671
2020,2,8.3,6936.289318
2020,3,10.7,6303.570923
2020,4,12.8,5864.364276
2020,5,19.5,5125.657125
2020,6,23.2,5680.17443
2020,7,24.3,6265.318835
2020,8,29.1,7366.622057
2020,9,24.2,7661.985179
2020,10,17.5,5800.873394
2020,11,14,5524.828241
2020,12,7.7,6228.940589
2021,1,5.4,7349.545405
2021,2,8.5,7075.487133
2021,3,12.8,6235.756718
2021,4,15.1,5642.706403
2021,5,19.6,5222.238308
2021,6,22.7,5618.185696
2021,7,25.9,6767.403
2021,8,27.4,7374.522585
2021,9,22.3,6622.97205
2021,10,18.2,5681.738012
2021,11,13.7,5560.799128
2021,12,7.9,6209.832
2022,1,4.9,7465.691862
2022,2,5.2,7620.04363
2022,3,10.9,6547.619
