expenditure,food,housing,LFW,furniture,clothes,health,transport,education,recreation,others,income,deposit
278022,69308,19074,23003,9274,12527,12825,50384,7817,24854,48956,390618,390929
264325,68482,16172,22833,9986,8724,9627,51794,13198,18098,45412,390061,380707
301901,73988,19853,24116,11210,13220,14221,54191,7002,25052,59048,462837,459980
284415,77197,22622,21480,9382,10822,11818,51518,10419,25766,43392,412822,412646
271219,72788,11572,23206,11207,9782,12337,46042,7733,22748,53804,428276,417602
281597,73529,14980,25431,9422,10713,10110,47131,8732,21378,60170,434845,421234
274772,69053,14485,22373,9596,9676,9570,45987,6200,22923,64910,413351,406263
311829,79290,13180,20935,11819,13407,14940,50847,15298,30061,62051,478213,454676
295266,72207,10881,20250,9178,13259,13890,60306,12169,26111,57015,449279,444648
274456,69897,16073,18930,10777,9931,12219,47666,13519,24396,51047,394166,391329
284117,77196,19073,18899,9935,12740,11861,40610,19672,28736,45394,463656,449091
295605,78287,18774,19863,10612,12837,12094,45799,18794,29667,48878,461161,449215
316541,85199,33694,17945,10681,15064,15695,35214,21554,33781,47715,490924,485037
296847,83540,24061,18883,8507,13254,13343,39373,18750,30040,47096,460382,446476
266857,73814,14379,21965,10510,10164,9773,45007,11676,22353,47215,441425,440207
289241,79562,12642,23515,9203,13428,12602,46731,10211,29544,51803,468332,453701
278024,79227,18777,20773,11674,11747,12134,45491,11199,27252,39751,438382,429911
263528,72558,14277,22125,7450,10430,10773,44275,11411,23848,46380,446156,436132
278424,70712,15264,19216,11103,9892,10105,50265,8073,26113,57680,425022,390694
304063,78552,18080,22331,12134,11539,11014,59189,9762,30793,50671,450173,436788
266041,74119,13834,19608,8837,11310,12135,43886,9623,27107,45580,440856,428522
281420,76052,22024,20500,11127,11211,12774,45535,9767,26669,45761,446702,432674
300381,78926,19217,19341,9347,13781,12837,47890,17585,31862,49596,441086,429601
272574,68746,11044,20238,10574,10421,11904,48630,10077,29546,51395,430195,420687
265887,71760,15436,19174,8171,11534,9965,42847,14368,26337,46295,438260,438940
293284,81527,21183,20029,12050,14396,12013,40400,15300,31498,44889,462678,455005
282855,75883,31011,18374,7800,10713,11482,39676,19655,26097,42164,422630,442644
289646,76907,15812,18015,8112,12180,14273,47426,20030,27482,49409,426149,419127
296377,76445,13595,19607,8535,12980,13332,51299,22622,25400,52562,438005,424870
244721,68346,14191,18709,9507,11062,10406,39060,8485,18976,45981,396469,383485
275257,73002,15593,20552,10089,11082,16225,50342,4792,27702,45878,422622,405239
293868,69692,19809,21948,10339,10485,13165,47609,10051,25248,65522,449513,433332
293650,71943,12728,19116,10439,11536,11908,65809,10359,23871,55943,425960,407747
295298,70904,17738,18259,10273,12886,12351,61677,13857,26407,50944,421165,429900
279266,68074,19696,19470,9469,10084,14869,48725,10988,23643,54247,418954,405620
290060,72235,14868,19913,8707,9854,10903,59674,13288,22118,58500,422126,405361
299351,75621,19470,19513,11131,14485,13529,49984,14104,24669,56843,443083,427568
263260,68742,11498,19055,8481,10395,11357,47459,9824,23198,53251,391383,393789
290570,74591,13794,18407,9549,12007,11948,42169,29939,24042,54125,398870,396220
297846,72141,22600,18271,10517,12631,13899,47958,13706,31142,54981,410252,407117
281253,69914,16579,20463,11841,10012,12374,49277,16751,24327,49714,407090,383956
284657,70011,22819,19237,8900,10795,11681,42991,11058,22600,64564,445732,442859
282654,69976,31709,19759,9536,11015,9793,51593,10269,22448,46555,407213,394355
275695,68624,15974,17007,10429,11345,10091,51124,12642,21910,56550,406850,398207
259749,71407,17816,17821,9242,9855,12760,41374,7672,22209,49594,379772,374127
276239,67400,22764,18399,8662,7933,14572,47410,10923,20321,57855,384842,381594
250163,66182,25588,19119,6423,8412,10147,40347,14891,17731,41323,323207,313541
