世帯主の性別,都道府県,集計世帯数,消費,可処分所得
男,北海道,610,285976,410194
男,青森県,220,276918,415679
男,岩手県,230,305856,449906
男,宮城県,240,292697,426850
男,秋田県,230,280816,450274
男,山形県,220,289866,453169
男,福島県,240,285210,430782
男,茨城県,460,319134,494244
男,栃木県,260,307165,468332
男,群馬県,270,288073,420072
男,埼玉県,820,291837,479340
男,千葉県,670,299434,477056
男,東京都,670,321187,508993
男,神奈川県,680,301856,473928
男,新潟県,310,271913,455957
男,富山県,240,296904,486397
男,石川県,240,283494,453213
男,福井県,240,265991,457970
男,山梨県,210,289012,442063
男,長野県,300,312405,466224
男,岐阜県,330,271903,454664
男,静岡県,480,287566,458586
男,愛知県,750,305950,456889
男,三重県,290,278488,445065
男,滋賀県,280,274942,453849
男,京都府,260,302672,472442
男,大阪府,670,287997,439239
男,兵庫県,570,295299,434243
男,奈良県,240,303787,452036
男,和歌山県,180,249438,405593
男,鳥取県,190,275989,438126
男,島根県,220,294098,458353
男,岡山県,240,300704,442557
男,広島県,300,303141,437132
男,山口県,260,288200,432420
男,徳島県,220,302065,443160
男,香川県,230,309401,458363
男,愛媛県,220,262994,401602
男,高知県,170,299154,424927
男,福岡県,510,304315,422401
男,佐賀県,230,284631,421727
男,長崎県,250,301898,477150
男,熊本県,230,301672,438910
男,大分県,220,279123,424794
男,宮崎県,220,264954,395827
男,鹿児島県,230,285019,406870
男,沖縄県,180,264376,337943
女,北海道,90,226342,263429
女,青森県,40,204407,268167
女,岩手県,40,275014,550732
女,宮城県,20,210914,288322
女,秋田県,20,190591,243462
女,山形県,30,228728,317693
女,福島県,30,180690,256244
女,茨城県,40,236039,311876
女,栃木県,30,225652,337814
女,群馬県,40,201707,255761
女,埼玉県,70,205563,304071
女,千葉県,60,259348,310651
女,東京都,70,280877,352199
女,神奈川県,60,252952,341677
女,新潟県,40,229300,333471
女,富山県,30,229587,327688
女,石川県,30,231625,312575
女,福井県,30,242954,347490
女,山梨県,20,172789,255009
女,長野県,40,246769,339937
女,岐阜県,30,194726,272890
女,静岡県,50,217797,323667
女,愛知県,70,247664,291489
女,三重県,20,207010,265332
女,滋賀県,30,199683,324294
女,京都府,20,190083,355344
女,大阪府,90,245902,303248
女,兵庫県,50,214645,318775
女,奈良県,20,223423,299874
女,和歌山県,20,206488,322501
女,鳥取県,30,270466,321034
女,島根県,30,292413,393674
女,岡山県,20,219246,250896
女,広島県,40,240924,310476
女,山口県,30,203119,304186
女,徳島県,30,212569,286360
女,香川県,30,231619,340109
女,愛媛県,20,265642,299883
女,高知県,50,258762,302309
女,福岡県,50,239591,300850
女,佐賀県,30,260149,315671
女,長崎県,50,205320,301155
女,熊本県,40,194308,259960
女,大分県,40,249255,268456
女,宮崎県,30,227926,281608
女,鹿児島県,30,221356,247149
女,沖縄県,40,174147,244394
