"minute","price","area","age","Q","renovated"
11,5500,55,54,3,"Yes"
11,4400,45,54,3,"Yes"
11,3400,35,54,3,"Yes"
11,5000,45,54,2,"Yes"
5,4600,40,22,4,"No"
6,8600,65,27,3,"No"
7,3100,20,17,3,"No"
6,6700,55,27,3,"No"
6,6300,50,27,2,"Yes"
4,6600,60,22,2,"No"
6,2600,25,38,3,"Yes"
8,4700,35,25,3,"Yes"
7,750,20,59,3,"No"
7,750,20,59,3,"No"
6,3900,25,1,2,"No"
6,4300,25,1,2,"No"
6,4200,25,1,1,"No"
6,3600,25,1,1,"No"
6,3900,25,1,1,"No"
5,8700,65,12,1,"No"
10,3500,25,1,4,"No"
5,2000,15,23,3,"No"
4,7800,55,5,2,"No"
2,7700,50,13,2,"No"
2,7400,45,5,2,"No"
5,990,10,46,2,"No"
6,2000,20,38,2,"Yes"
4,9400,65,5,2,"Yes"
2,11000,65,13,1,"No"
12,1600,20,21,3,"No"
14,2300,20,20,1,"No"
12,6300,70,44,3,"Yes"
11,8000,75,22,2,"No"
12,930,30,44,1,"No"
11,2400,20,17,1,"No"
3,8500,65,9,1,"No"
2,5800,45,43,3,"Yes"
3,5600,20,21,3,"Yes"
2,7500,40,10,2,"No"
3,2900,25,24,2,"No"
8,6500,55,36,2,"Yes"
7,8800,60,10,2,"No"
3,2900,20,19,1,"Yes"
3,4500,35,35,1,"Yes"
2,15000,70,13,1,"No"
2,6800,40,13,1,"No"
3,2900,25,26,1,"No"
6,1300,15,36,3,"No"
6,1200,15,36,2,"No"
9,4400,50,52,2,"Yes"
10,3200,35,25,2,"No"
12,1000,15,32,1,"Yes"
12,4000,35,26,1,"No"
4,5400,50,51,2,"No"
4,2800,20,17,1,"No"
4,3100,20,17,1,"No"
3,12000,75,20,4,"Yes"
6,3300,25,7,3,"Yes"
4,7500,70,25,3,"No"
4,1400,15,29,3,"No"
1,7400,60,11,1,"No"
7,6000,40,16,1,"Yes"
16,8700,70,8,3,"No"
15,8000,60,9,3,"No"
16,6400,55,8,2,"No"
14,2900,25,11,1,"No"
8,7900,55,11,4,"No"
8,1400,15,33,4,"Yes"
9,1600,15,25,4,"No"
8,7500,50,11,3,"No"
7,5600,40,7,3,"No"
8,5800,35,6,4,"No"
10,2000,35,51,4,"No"
9,4800,45,23,3,"No"
10,3800,40,38,3,"Yes"
10,5900,50,10,3,"No"
19,9200,65,10,3,"No"
8,7200,50,9,3,"No"
7,4100,40,43,3,"No"
11,3000,20,13,3,"No"
9,11000,70,10,3,"No"
8,5700,35,6,3,"Yes"
13,6200,80,59,2,"No"
8,8000,55,4,2,"No"
3,3700,25,25,2,"No"
10,1900,20,38,2,"Yes"
10,1600,25,38,2,"Yes"
11,2600,20,13,2,"No"
9,4800,45,23,2,"No"
8,3200,35,33,2,"No"
11,2700,20,19,2,"No"
6,1900,20,37,2,"No"
11,2800,20,13,2,"No"
11,2800,20,19,1,"No"
8,6700,55,27,1,"Yes"
9,3700,35,41,1,"Yes"
11,2700,20,19,1,"Yes"
3,3000,20,25,1,"Yes"
7,5600,35,6,1,"No"
3,2800,25,22,1,"No"
6,1600,20,37,1,"No"
5,11000,75,43,1,"Yes"
13,4900,55,46,3,"Yes"
5,4800,30,26,1,"Yes"
6,4100,45,37,1,"No"
2,7100,50,7,4,"No"
1,2300,20,20,2,"Yes"
7,2400,20,19,4,"No"
2,11000,95,33,4,"Yes"
3,1000,15,38,4,"Yes"
8,4200,35,22,3,"No"
2,7200,90,33,1,"No"
7,3000,20,17,4,"No"
5,6000,65,58,4,"No"
4,7900,55,19,4,"No"
5,7700,60,20,3,"No"
9,5200,55,10,3,"No"
4,7500,55,19,3,"No"
8,7000,60,22,3,"No"
8,9000,80,22,2,"No"
2,3100,25,22,1,"No"
9,2600,25,10,1,"No"
10,6600,55,18,1,"No"
11,950,15,38,4,"No"
8,5700,50,49,2,"Yes"
7,7500,70,42,2,"Yes"
13,2700,25,11,1,"No"
6,8400,65,23,1,"No"
13,5200,40,13,2,"No"
15,5000,40,19,1,"Yes"
5,1600,15,25,1,"No"
9,11000,70,17,1,"No"
1,1800,15,25,3,"No"
1,1900,15,25,2,"Yes"
5,10000,85,37,2,"No"
7,2300,20,14,2,"No"
5,9500,60,4,2,"No"
2,4900,35,10,1,"No"
5,3500,55,36,1,"No"
10,4000,45,51,1,"No"
7,6400,50,52,2,"Yes"
9,6000,60,44,2,"No"
4,8000,55,11,4,"No"
4,6800,55,11,3,"No"
8,8800,55,7,3,"No"
10,13000,60,10,3,"Yes"
6,3100,35,54,3,"Yes"
8,2700,20,23,3,"No"
12,8200,50,6,2,"No"
13,7500,55,26,2,"Yes"
6,1800,25,54,2,"No"
7,8200,55,10,2,"No"
11,4100,45,45,2,"Yes"
12,8300,50,6,2,"No"
12,11000,70,6,2,"No"
6,6200,45,43,2,"Yes"
5,3400,25,30,2,"Yes"
6,6000,55,43,2,"Yes"
8,3300,45,35,2,"No"
8,3300,45,35,2,"No"
8,3300,45,35,2,"No"
8,3300,45,35,2,"No"
11,6900,55,21,1,"Yes"
16,5600,35,6,2,"No"
16,9000,60,6,1,"Yes"
2,6900,55,10,1,"No"
6,6800,60,25,3,"No"
16,5600,80,2,2,"No"
8,10000,75,22,4,"Yes"
4,2600,20,20,4,"No"
6,1900,20,24,3,"No"
6,3000,25,24,2,"No"
3,3800,50,43,2,"No"
10,10000,65,16,2,"No"
3,1300,20,43,1,"No"
6,2400,25,24,1,"No"
1,1800,25,40,1,"No"
8,9400,65,22,1,"No"
8,12000,70,17,3,"No"
8,9700,65,17,2,"No"
5,2300,25,40,2,"No"
8,22000,100,3,1,"No"
13,11000,80,26,4,"Yes"
9,5800,60,51,3,"Yes"
11,11000,65,7,3,"No"
9,9400,70,8,3,"No"
8,1300,20,36,3,"No"
13,8500,70,26,3,"Yes"
15,11000,55,25,2,"Yes"
16,11000,85,25,2,"No"
11,8800,70,25,1,"No"
9,7000,65,17,4,"No"
9,4300,30,8,4,"No"
11,5100,75,21,3,"No"
13,5000,105,20,2,"Yes"
13,6500,75,20,2,"No"
10,2500,20,17,1,"No"
8,1500,15,33,3,"Yes"
9,5200,50,43,2,"No"
8,6700,40,18,1,"No"
14,12000,80,20,2,"No"
10,8900,60,22,1,"No"
6,6800,65,49,4,"No"
6,8900,85,49,3,"No"
8,8200,65,13,2,"No"
6,9800,105,49,1,"No"
5,14000,80,4,4,"Yes"
8,3500,40,18,2,"No"
5,15000,80,4,1,"Yes"
9,6000,65,23,4,"No"
11,990,15,31,2,"No"
12,6600,55,15,2,"No"
9,2400,25,21,1,"No"
12,1400,20,30,2,"No"
12,7600,55,11,4,"No"
12,7600,55,11,2,"No"
14,2900,25,15,4,"No"
14,9500,70,15,4,"No"
15,4500,50,31,3,"No"
16,5900,70,45,3,"No"
14,8000,80,37,3,"No"
7,8500,65,23,2,"No"
10,9000,75,23,2,"No"
3,2600,20,18,1,"No"
7,9700,65,23,1,"Yes"
3,3100,20,18,1,"No"
14,9900,65,15,1,"No"
16,2600,30,45,1,"No"
15,24000,220,36,3,"Yes"
15,16000,220,36,2,"No"
13,7000,55,18,4,"No"
14,4300,50,51,4,"Yes"
10,5000,45,20,4,"No"
15,1400,20,32,4,"No"
11,6000,55,9,3,"No"
14,7500,55,11,3,"No"
14,9800,75,7,3,"No"
13,6300,55,20,2,"No"
12,9600,50,7,2,"No"
13,2000,20,20,2,"No"
11,7000,50,6,1,"No"
12,7700,50,7,1,"No"
12,8300,65,8,1,"No"
10,5300,50,27,1,"No"
14,7800,55,11,1,"No"
12,3000,40,27,3,"No"
2,7500,65,27,2,"Yes"
9,7900,65,6,1,"No"
9,8500,70,11,1,"No"
9,12000,90,11,1,"Yes"
5,2300,20,20,3,"No"
8,3500,50,31,3,"No"
14,3700,45,37,2,"No"
14,2800,45,27,2,"No"
5,9200,80,21,2,"No"
12,3000,35,44,1,"Yes"
6,1600,20,28,1,"No"
13,12000,65,4,3,"No"
11,8100,55,4,1,"No"
16,8000,70,17,4,"No"
13,5700,65,38,3,"No"
10,10000,70,9,3,"No"
7,5000,45,50,2,"Yes"
13,5800,70,38,2,"No"
11,8300,70,8,2,"No"
7,5300,50,50,1,"Yes"
3,2900,20,19,1,"No"
3,940,15,38,3,"Yes"
5,5000,40,23,2,"No"
8,3300,30,12,2,"No"
3,1600,15,31,2,"No"
8,3900,25,12,1,"No"
