"price","date"
21217,"1988-01-04"
21575,"1988-01-05"
22791,"1988-01-06"
22792,"1988-01-07"
22873,"1988-01-08"
22578,"1988-01-11"
22625,"1988-01-12"
22325,"1988-01-13"
22604,"1988-01-14"
22910,"1988-01-18"
22898,"1988-01-19"
22843,"1988-01-20"
22710,"1988-01-21"
22877,"1988-01-22"
23318,"1988-01-25"
23499,"1988-01-26"
23336,"1988-01-27"
23587,"1988-01-28"
23622,"1988-01-29"
23732,"1988-02-01"
23672,"1988-02-02"
23595,"1988-02-03"
23709,"1988-02-04"
23651,"1988-02-05"
23772,"1988-02-08"
23662,"1988-02-09"
23772,"1988-02-10"
23982,"1988-02-12"
24207,"1988-02-15"
24346,"1988-02-16"
24430,"1988-02-17"
24675,"1988-02-18"
24773,"1988-02-19"
24847,"1988-02-22"
24949,"1988-02-23"
24969,"1988-02-24"
25101,"1988-02-25"
25165,"1988-02-26"
25243,"1988-02-29"
25436,"1988-03-01"
25683,"1988-03-02"
25596,"1988-03-03"
25616,"1988-03-04"
25617,"1988-03-07"
25466,"1988-03-08"
25605,"1988-03-09"
25618,"1988-03-10"
25544,"1988-03-11"
25434,"1988-03-14"
25476,"1988-03-15"
25704,"1988-03-16"
25872,"1988-03-17"
25966,"1988-03-18"
25843,"1988-03-22"
25895,"1988-03-23"
25781,"1988-03-24"
25627,"1988-03-25"
25623,"1988-03-28"
25953,"1988-03-29"
26320,"1988-03-30"
26260,"1988-03-31"
26104,"1988-04-01"
26335,"1988-04-04"
26315,"1988-04-05"
26511,"1988-04-06"
26769,"1988-04-07"
26749,"1988-04-08"
26925,"1988-04-11"
26931,"1988-04-12"
26986,"1988-04-13"
27111,"1988-04-14"
26894,"1988-04-15"
26671,"1988-04-18"
26657,"1988-04-19"
26864,"1988-04-20"
26828,"1988-04-21"
26837,"1988-04-22"
27213,"1988-04-25"
27247,"1988-04-26"
27192,"1988-04-27"
27434,"1988-04-28"
27670,"1988-05-02"
27534,"1988-05-06"
27264,"1988-05-09"
27412,"1988-05-10"
27161,"1988-05-11"
27213,"1988-05-12"
27468,"1988-05-13"
27760,"1988-05-16"
27820,"1988-05-17"
27768,"1988-05-18"
27373,"1988-05-19"
27394,"1988-05-20"
27250,"1988-05-23"
27313,"1988-05-24"
27444,"1988-05-25"
27428,"1988-05-26"
27290,"1988-05-27"
27223,"1988-05-30"
27417,"1988-05-31"
27704,"1988-06-01"
27869,"1988-06-02"
27822,"1988-06-03"
27996,"1988-06-06"
27967,"1988-06-07"
27913,"1988-06-08"
28072,"1988-06-09"
27920,"1988-06-10"
28038,"1988-06-13"
28062,"1988-06-14"
28094,"1988-06-15"
28147,"1988-06-16"
28342,"1988-06-17"
28139,"1988-06-20"
27926,"1988-06-21"
27861,"1988-06-22"
27733,"1988-06-23"
27750,"1988-06-24"
27435,"1988-06-27"
27398,"1988-06-28"
27607,"1988-06-29"
27769,"1988-06-30"
27504,"1988-07-01"
27360,"1988-07-04"
27577,"1988-07-05"
27767,"1988-07-06"
27728,"1988-07-07"
27917,"1988-07-08"
27986,"1988-07-11"
28100,"1988-07-12"
28020,"1988-07-13"
28084,"1988-07-14"
27914,"1988-07-15"
27662,"1988-07-18"
27149,"1988-07-19"
27554,"1988-07-20"
27676,"1988-07-21"
27285,"1988-07-22"
27184,"1988-07-25"
27304,"1988-07-26"
27739,"1988-07-27"
27796,"1988-07-28"
27912,"1988-07-29"
28326,"1988-08-01"
28366,"1988-08-02"
28348,"1988-08-03"
28293,"1988-08-04"
28423,"1988-08-05"
28253,"1988-08-08"
28170,"1988-08-09"
27555,"1988-08-10"
27785,"1988-08-11"
27834,"1988-08-12"
27901,"1988-08-15"
27897,"1988-08-16"
28179,"1988-08-17"
28129,"1988-08-18"
28209,"1988-08-19"
28079,"1988-08-22"
27920,"1988-08-23"
27800,"1988-08-24"
27870,"1988-08-25"
27565,"1988-08-26"
27379,"1988-08-29"
27512,"1988-08-30"
27366,"1988-08-31"
26934,"1988-09-01"
27117,"1988-09-02"
27342,"1988-09-05"
27321,"1988-09-06"
27504,"1988-09-07"
27740,"1988-09-08"
27647,"1988-09-09"
27757,"1988-09-12"
27794,"1988-09-13"
27806,"1988-09-14"
27866,"1988-09-16"
27901,"1988-09-19"
27549,"1988-09-20"
27713,"1988-09-21"
27428,"1988-09-22"
27334,"1988-09-26"
27500,"1988-09-27"
27752,"1988-09-28"
27700,"1988-09-29"
