"minute","price","area","age"
4,8400,50,6
6,3000,25,24
9,12000,75,4
6,11000,75,37
4,2800,20,8
10,11000,75,14
6,11000,70,9
4,2800,20,8
6,1900,20,25
6,2500,25,25
8,3500,45,50
7,3800,35,41
11,3400,20,22
7,7000,65,43
8,9500,75,46
3,5500,30,28
6,1300,10,37
3,2200,15,28
2,2200,15,28
4,4200,30,38
3,4800,30,18
3,6000,40,36
8,4000,25,20
6,12000,75,22
3,8000,85,43
9,5300,45,21
4,1800,15,36
6,7000,55,18
5,4900,65,38
6,6600,45,18
4,4900,35,20
10,8500,50,5
7,6200,50,17
11,5300,25,1
11,5200,25,1
8,3500,20,8
10,4000,25,12
11,5200,25,1
8,3600,35,16
8,5400,35,16
11,5200,25,1
11,5200,25,1
11,5100,25,1
8,2600,15,22
8,3600,25,15
10,7500,50,5
11,8000,50,5
2,7000,40,18
2,9500,55,18
4,7500,55,23
1,6000,30,5
2,1700,20,56
3,13000,65,2
1,15000,70,5
6,5500,40,24
7,14000,75,21
5,7600,40,10
7,9600,55,16
3,4400,40,53
5,3900,25,16
6,16000,75,1
7,14000,75,21
5,3900,25,23
6,27000,90,1
5,12000,60,5
9,10000,60,6
9,6500,55,22
9,10000,65,6
1,2700,20,18
10,2400,25,24
11,6300,50,18
10,3200,25,6
11,5800,50,18
11,5100,40,18
6,5200,40,21
8,4000,45,51
7,7300,45,19
8,3800,35,51
7,3700,25,11
6,10000,70,23
4,2300,20,23
3,2300,20,16
6,1800,15,26
6,1700,15,26
6,1800,15,26
6,1800,15,26
8,2400,20,18
3,2300,25,16
6,1800,15,26
3,2300,20,16
4,3000,35,25
2,2300,20,16
4,4400,45,43
5,1600,35,47
8,4000,40,25
6,2500,20,13
8,2500,20,8
5,920,10,36
2,2200,20,18
3,2600,25,16
2,2400,20,18
6,1600,25,42
3,2300,20,16
4,4500,55,23
3,1300,30,41
3,2400,20,16
5,2400,35,47
4,2100,20,23
6,2200,20,13
4,2200,20,23
6,2500,20,13
4,1900,20,25
4,2100,25,18
4,2200,25,18
4,1500,55,43
8,6200,50,45
5,25000,95,8
8,2800,20,20
5,2400,20,41
9,9900,40,0
4,12000,45,9
