month,rate
Jan-88,127.18
Feb-88,128.12
Mar-88,124.5
Apr-88,124.82
May-88,124.8
Jun-88,132.2
Jul-88,132.53
Aug-88,134.97
Sep-88,134.3
Oct-88,125
Nov-88,121.85
Dec-88,125.9
Jan-89,129.13
Feb-89,127.15
Mar-89,132.55
Apr-89,132.49
May-89,142.7
Jun-89,143.95
Jul-89,138.4
Aug-89,144.28
Sep-89,139.35
Oct-89,142.15
Nov-89,142.9
Dec-89,143.4
Jan-90,144.4
Feb-90,148.52
Mar-90,157.65
Apr-90,159.08
May-90,151.75
Jun-90,152.85
Jul-90,147.5
Aug-90,144.5
Sep-90,137.95
Oct-90,129.35
Nov-90,132.75
Dec-90,135.4
Jan-91,131.4
Feb-91,131.95
Mar-91,140.55
Apr-91,137.42
May-91,137.97
Jun-91,138.15
Jul-91,137.83
Aug-91,136.88
Sep-91,132.95
Oct-91,131
Nov-91,130.07
Dec-91,125.25
Jan-92,125.78
Feb-92,129.33
Mar-92,133.05
Apr-92,133.38
May-92,128.33
Jun-92,125.55
Jul-92,127.3
Aug-92,123.42
Sep-92,119.25
Oct-92,123.35
Nov-92,124.75
Dec-92,124.65
Jan-93,124.3
Feb-93,117.85
Mar-93,115.35
Apr-93,111.1
May-93,107.45
Jun-93,106.51
Jul-93,105.6
Aug-93,104.18
Sep-93,105.1
Oct-93,108.23
Nov-93,108.82
Dec-93,111.89
